Variable,Restrictions,content map,category tab,section,role(s),id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete,bookpage(s),FrontCover,BackCover,Spine,Congradulations,TOC,fieldofplay,School,Athletic_Director,coaches photo,team photo,CoachQuote,Head_Coach,Coaches_Corner,People_Made_Difference,Player_Facts,Player_Stories,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,Favorite_Photos,Teammates_Remember,TeamMatesProfile,PlayerQuote
{{SeniorTributeFromUnderclassmenSectionHeadline}},,seniortributefromunderclassmen.section.headline,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",,,,,,,,,Headline: Underclassmen Farewell to the Seniors (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromUnderclassmenSectionSubhead}},,seniortributefromunderclassmen.section.subhead,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",,,,,,,,,Subhead: They’ll be missed in spirit and leadership.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromUnderclassmenPageTitle}},required; min 1; max 50,seniortributefromunderclassmen.page.title,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",,,,,,,,,Caption: Get a photo and note from the coach—included in everyone’s MemoryBook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,seniortributefromunderclassmen.organization.primarycolor,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",,,,,,,,,Layout: 1 photo; 1 text block (maximum 950 characters) with character counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SecondarySchoolColor}},,seniortributefromunderclassmen.organization.secondarycolor,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromUnderclassmenPhoto}},portrit or landscape,seniortributefromunderclassmen.photo_101.image,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",101_imgSeniorTributeFromUnderclassmenPhoto,SeniorTributeFromUnderclassmenImage,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromUnderclassmenBodyText}},required; min 1 max 1050,seniortributefromunderclassmen.bodytext,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",101_txtSeniorTributeFromUnderclassmenPhotoCaption,SeniorTributeFromUnderclassmenCaption,,,input,text,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolInitials}},,seniortributefromunderclassmen.organization.initials,Team Setup,SeniorTributeFromUnderclassmenSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromCoachSectionTitle}},required; min 1; max 50,seniortributefromcoach.section.title,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromCoacSectionHeadline}},,seniortributefromcoach.section.headline,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,Headline: Coach’s Farewell to the Seniors (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromCoacSectionSubhead}},,seniortributefromcoach.section.subhead,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,Subhead: Special recognition for the graduating seniors and their impact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromCoacPageTitle}},required; min 1; max 50,seniortributefromcoach.page.title,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,Caption: Get a photo and note from the coach—included in everyone’s MemoryBook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,seniortributefromcoach.organization.primarycolor,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,Layout: 1 photo; 1 text block (maximum 950 characters) with character counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SecondarySchoolColor}},,seniortributefromcoach.organization.secondarycolor,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromCoachPhoto1}},portrit or landscape,seniortributefromcoach.photo_101.image,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",101_imgSeniorTributeFromCoachPhoto,SeniorTributeFromCoachImage,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromCoachBodyText}},required; min 1 max 950,seniortributefromcoach.bodytext,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",101_txtSeniorTributeFromCoachPhotoCaption,SeniorTributeFromCoachCaption,,,input,text,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachLastName}},max 33; ,seniortributefromcoach.salutation,Team Profile,SeniorTributeFromCoachSection,"Leader, Staff",,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorSectionTitle}},required; min 1; max 50,athleticdirector.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorPageTitle}},required; min 1; max 50,athleticdirector.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorPageTLayour}},,athleticdirector.page.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorFirstLast}},required; min 1; max 27,athleticdirector.person.firstlastname,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
{{AthleticDirectorTitle}},required; min 1; max 39,athleticdirector.title,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
   Fact Caption & Text (3-5),max 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorFactCaption}},max 27,athleticdirector.fact_101.captiontext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
{{AthleticDirectorFactText}},max 30,athleticdirector.fact_101.answertext,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
   Story Caption & text (4-4),max ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorStoryCaption}},max 27,athleticdirector.story_101.captiontext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{AthleticDirectorStoryText}},max ,athleticdirector.story_101.answertext,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolSlogan}},,athleticdirector.organization.slogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,athleticdirector.organization.primarycolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
{{AthleticDirectorPhoto}},,athleticdirector.photo.image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic_Director,,,,,,,,,,,,,,,
{{CoachingStaffSectionTitle}},required; min 1; max 50,staffphoto.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachingStaffPageTitle}},required; min 1; max 50,staffphoto.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachingStaffPhoto}},,staffphoto.photo.image,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coaches photo,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,staffphoto.organization.primarycolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachingStaffLayout}},left or right,staffphoto.page.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamSectionTitle}},required; min 1; max 50,teamphoto.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamPageTitle}},required; min 1; max 50,teamphoto.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerTeamLevel}},required; 1 of options,player.person.teamlevel,ProfileInfo,ContactInfoSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,team photo,,,,,,,,,,,,,
{{TeamPhoto}},,teamphoto.group.image.photo,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,teamphoto.organization.primarycolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{MascotPhotoSectionTitle}},,mascotphoto.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{MascotPhotoPageTitle}},,mascotphoto.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{TeamMascotImage}},,mascotphoto.group.mascot.image,Team Profile,TeamInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachSectionTitle}},required; min 1; max 50,headcoach.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachPageTitle}},,headcoach.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachGender}},"Male, Female, blank",headcoach.person.gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Favorite Quote,,,,,,,,,,,,
{{HeadCoachQuote}},required,headcoach.quote,BuildMemoryBook,QuoteSection,Staff,,,,,,,,,,,,,,,,,,,,Favoritequote Is Required,,,,,,,,,,,,,,,,,Head Coach Favorite Quote,,,,,,,,,,,,
{{HeadCoachQuoteCredit}},,headcoach.quote.credit,BuildMemoryBook,QuoteSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Favorite Quote,,,,,,,,,,,,
{{HeadCoachFirstLast}},require; min 1; max 27,headcoach.person.firstlastname,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Favorite Quote,,,,,,,,,,,,
{{CelebrationImage1}},,headcoach.group.typeimage_101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Favorite Quote,,,,,,,,,,,,
{{PlayerInitials}},min 2; max 3;,headcoach.player.person.initials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachFirstName}},required; min 1; max 13,headcoach.person.firstname,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
{{HeadCoachLastName}},required; min 1; max 13,headcoach.person.lastname,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
{{HeadCoachPhoto1}},required; portrait or landscape,headcoach.photo1.image,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
{{HeadCoachPhoto2}},portrait or landscape,headcoach.photo2.image,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
{{HeadCoachTitle}},required; min 1; max 39,headcoach.title,,,,,,,,,,,,Head Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{HeadCoachLayout}},left or right,headcoach.page.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
  Fact Caption & Text (6-6),max 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact1CAPTION,max 27,headcoach.fact_101.captiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,Caption Is Required,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
fact6_QUES_PROMPT,,headcoach.fact_101.questiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact1ANS_DESCRIPTION,,headcoach.fact_101.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
HeadCoach_Fact2CAPTION,,headcoach.fact_102.captiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
fact6_QUES_PROMPT,,headcoach.fact_102.questiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact2ANS_DESCRIPTION,,headcoach.fact_102.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
HeadCoach_Fact3CAPTION,,headcoach.fact_103.captiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
fact6_QUES_PROMPT,,headcoach.fact_103.questiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact3ANS_DESCRIPTION,,headcoach.fact_103.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
HeadCoach_Fact4CAPTION,,headcoach.fact_104.captiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
fact6_QUES_PROMPT,,headcoach.fact_104.questiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact4ANS_DESCRIPTION,,headcoach.fact_104.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
HeadCoach_Fact5CAPTION,,headcoach.fact_105.captiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
fact6_QUES_PROMPT,,headcoach.fact_10.questiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact5ANS_DESCRIPTION,,headcoach.fact_10.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
HeadCoach_Fact6CAPTION,,headcoach.fact_106.captiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
fact6_QUES_PROMPT,,headcoach.fact_106.questiontext,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_Fact6ANS_DESCRIPTION,,headcoach.fact_106.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,
 Story Caption & text (6-6),max 1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story1CAPTION,max 27,headcoach.stoty_101.captiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
stoyr6_QUES_PROMPT,,headcoach.story_101.questiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story1ANS_DESCRIPTION,,headcoach.story_101.answertext,ProfileInfo,StorySection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
HeadCoach_story2CAPTION,,headcoach.stoty_102.captiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
stoyr6_QUES_PROMPT,,headcoach.story_102.questiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story2ANS_DESCRIPTION,,headcoach.story_102.answertext,ProfileInfo,StorySection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
HeadCoach_story3CAPTION,,headcoach.stoty_103.captiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
stoyr6_QUES_PROMPT,,headcoach.story_103.questiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story3ANS_DESCRIPTION,,headcoach.story_103.answertext,ProfileInfo,StorySection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
HeadCoach_story4CAPTION,,headcoach.stoty_104.captiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
stoyr6_QUES_PROMPT,,headcoach.story_104.questiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story4ANS_DESCRIPTION,,headcoach.story_104.answertext,ProfileInfo,StorySection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
HeadCoach_story5CAPTION,,headcoach.stoty_105.captiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
stoyr6_QUES_PROMPT,,headcoach.story_105.questiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story5ANS_DESCRIPTION,,headcoach.story_105.answertext,ProfileInfo,StorySection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
HeadCoach_story6CAPTION,,headcoach.stoty_106.captiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
stoyr6_QUES_PROMPT,,headcoach.story_106.questiontext,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeadCoach_story6ANS_DESCRIPTION,,headcoach.story_106.answertext,ProfileInfo,StorySection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,Head Coach Page,,,,,,,,,,,,
{{CoachesCornerSectionTitle}},required; min 1; max 50,coachescorner.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{CoachesCornerPageTitle}},required; min 1; max 50,coachescorner.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerFirstName}},required; min 1; max 13,coachescorner.player.firstname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{HeadCoachLastName}},required; min 1; max 13,coachescorner.headcoach.person.lastname,,,,,,,,,,,,,,,,,,TRUE,,,,,Playerfirstname Is Required,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{CoachesCornerPhoto}},default of playimage or group type image,coachescorner.photo.image,,CoachesCornerSection,Staff,,,,,,,,,,,,,,,TRUE,,,,,Coachlastname Is Required,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{PrimarySchoolColor}},required; 1 of 32 options,coachescorner.organization.primarycolor,,,,,,,,,,,,,,,,,,TRUE,,,,,Coachphoto Is Required,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{CoachesCornerEBAWord}},required; min; max 18,coachescorner.ebaword,,CoachesCornerSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{CoachesCornerEBA}},required; min; max 208,coachescorner.ebatext,,CoachesCornerSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{CoachesCornerSentiment}},required; min; max 600,coachescorner.sedimenttext,,CoachesCornerSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{HeadCoachFirstName}},required; min 1; max 13,coachescorner.coach.person.firstname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
{{HeadCoachInitials}},required; min 2; max 2,coachescorner.coach.person.initials,,,,,,,,,,,,,,,,,,TRUE,,,,,Coachfirstname Is Required,,,,,,,,,,,,,,,,,,,Coaches_Corner,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{ADFullName}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{DifferenceSectionTitle}},,difference.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{DifferencePageTitle}},,difference.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{DifferenceFirstName}},required; min 1; max 13,difference.person.givenName,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
{{DifferenceLastName}},required; min 1; max 13,difference.person.familyName,ProfileInfo,ContactInfoSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
{{DifferenceTitle}},required; min 1; max 39,difference.person.title,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{DifferenceThumbnail}},,difference.person.thumbnail.image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{DifferencePhoto1}},,difference.player.photo_101.image,ProfileInfo,ProfilePhotoSection,Staff,,,,,,,,,,,,,,,,,,,,Differencephoto1 Is Required,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
{{DifferencePhoto2}},,difference.player.photo_102.image,ProfileInfo,ProfilePhotoSection,Staff,,,,,,,,,,,,,,,,,,,,Differencephoto2 Is Required,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
{{PrimaryColorText}},required,difference.organization.primarycolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
{{DifferenceLayout}},left or right,difference.page.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
  Fact Caption & Text (6-6),max 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference_Fact0Caption,,staff.fact_101.captiontext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,,,,,,,Description Is Empity,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
Difference_Fact0ANS_DESCRIPTION,,difference.fact_101.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
Difference_Fact1Caption,,difference.fact_102.captiontext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,,,,,,,Description Is Empity,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
Difference_Fact1ANS_DESCRIPTION,,difference.fact_102.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
Difference_Fact2Caption,,difference.fact_103.captiontext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,,,,,,,Description Is Empity,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
Difference_Fact2ANS_DESCRIPTION,,difference.fact_103.answertext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
Difference_Fact3Caption,,difference.fact_104.captiontext,ProfileInfo,FactsSection,Staff,,,,,,,,,,,,,,,,,,,,Description Is Empity,,,,,,,,,,,,,,,,,,,,People_Made_Difference,,,,,,,,,
